"periodo","p1","p2","p3_1","p3_2","p3_3","p3_4","p3_5","p5","p7","p7_3","p24","p25","edad","sexo"
"0219",1,1,1,1,1,2,1,5,3,1500,1,3,60,2
"0219",1,1,1,2,2,2,1,4,3,230,2,3,19,2
"0219",1,1,1,1,2,2,2,5,2,0,0,0,59,2
"0219",1,1,1,2,2,2,1,3,1,0,1,1,20,2
"0219",1,1,1,1,1,2,2,3,3,600,0,0,78,1
"0219",1,1,1,2,2,2,1,4,2,0,3,3,25,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,19,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,33,2
"0219",1,1,1,1,2,2,1,3,3,250,2,4,41,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,59,2
"0219",1,1,2,2,2,2,2,0,0,0,0,0,28,2
"0219",1,2,2,2,1,2,1,0,0,0,2,3,58,2
"0219",1,1,1,1,2,2,1,1,1,0,1,1,59,2
"0219",1,1,1,1,1,1,1,4,3,1500,1,3,59,1
"0219",1,1,1,2,2,2,2,3,2,0,0,0,28,2
"0219",1,1,1,2,2,2,1,4,3,200,1,4,58,1
"0219",1,1,2,2,2,2,1,0,0,0,2,1,47,1
"0219",2,0,0,0,0,0,0,0,0,0,0,0,62,1
"0219",1,1,1,1,2,2,1,1,2,0,2,3,24,2
"0219",1,1,1,1,2,1,2,3,2,0,0,0,25,2
"0219",1,2,2,2,2,2,1,0,0,0,5,3,28,2
"0219",1,1,1,1,2,1,2,2,2,0,0,0,29,2
"0219",1,1,1,1,2,2,2,3,2,0,0,0,37,1
"0219",1,2,2,2,2,2,1,0,0,0,2,3,33,1
"0219",1,1,2,2,2,2,1,0,0,0,3,3,41,2
"0219",1,1,2,1,2,2,1,0,0,0,3,3,42,2
"0219",2,0,0,0,0,0,0,0,0,0,0,0,63,2
"0219",1,2,2,1,2,2,1,0,0,0,5,4,29,2
"0219",1,2,2,2,1,2,1,0,0,0,5,4,39,1
"0219",1,1,1,1,2,2,1,1,1,0,2,3,51,1
"0219",1,2,1,2,2,1,1,3,2,0,2,3,23,2
"0219",1,1,1,2,2,2,1,3,2,0,1,3,31,1
"0219",1,1,1,2,2,2,2,3,3,150,0,0,54,1
"0219",1,1,1,1,2,2,1,4,3,300,1,2,19,1
"0219",1,2,2,1,2,2,2,0,0,0,0,0,26,2
"0219",1,2,2,1,1,2,2,0,0,0,0,0,24,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,33,1
"0219",1,1,1,1,1,2,2,4,2,0,0,0,55,2
"0219",1,1,1,1,2,1,1,4,3,400,1,4,31,2
"0219",1,1,1,2,1,2,1,4,3,200,5,4,37,1
"0219",1,1,1,2,1,2,2,4,3,1000,0,0,24,1
"0219",1,2,1,1,2,2,1,4,2,0,2,4,31,2
"0219",1,1,1,1,2,2,1,2,1,0,2,2,25,1
"0219",1,2,2,2,1,2,1,0,0,0,2,1,28,1
"0219",1,1,1,1,2,2,1,2,3,1500,1,4,24,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,36,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,26,1
"0219",1,1,1,2,2,2,1,4,3,900,2,3,21,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,47,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,59,1
"0219",1,1,1,2,1,2,2,4,2,0,0,0,45,2
"0219",1,1,1,1,1,2,2,1,1,0,0,0,42,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,58,1
"0219",1,1,1,2,2,2,2,4,2,0,0,0,77,2
"0219",1,1,1,2,2,2,2,4,1,0,0,0,33,1
"0219",1,1,1,2,1,2,1,4,3,80,2,4,23,2
"0219",1,1,1,1,2,2,2,3,2,0,0,0,75,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,32,1
"0219",1,2,1,2,2,2,2,4,2,0,0,0,49,2
"0219",1,1,1,2,2,2,1,4,2,0,1,4,40,1
"0219",1,1,2,2,1,2,1,0,0,0,1,4,23,2
"0219",1,2,1,2,2,2,2,3,2,0,0,0,44,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,51,2
"0219",1,1,1,2,2,1,1,4,3,100,4,3,29,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,24,1
"0219",1,1,2,1,2,2,2,0,0,0,0,0,64,2
"0219",1,1,1,2,2,2,1,2,1,0,2,2,25,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,48,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,72,1
"0219",1,2,2,2,1,2,1,0,0,0,2,3,33,1
"0219",1,2,2,1,1,2,1,0,0,0,2,3,42,1
"0219",1,1,1,1,1,2,2,4,2,0,0,0,32,2
"0219",1,2,2,1,1,2,2,0,0,0,0,0,46,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,46,1
"0219",1,1,2,1,2,2,2,0,0,0,0,0,66,2
"0219",1,1,1,2,1,2,2,3,3,1200,0,0,53,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,81,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,70,1
"0219",1,1,1,2,2,2,1,2,3,1200,2,2,42,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,55,2
"0219",1,1,2,2,2,2,2,0,0,0,0,0,58,2
"0219",1,1,1,2,2,2,2,4,3,1000,0,0,45,2
"0219",1,1,1,1,1,2,1,3,3,1200,5,4,40,2
"0219",1,1,1,1,1,2,1,4,2,0,1,1,49,1
"0219",1,1,1,1,2,2,1,3,1,0,1,3,46,2
"0219",1,2,2,1,1,2,2,0,0,0,0,0,63,1
"0219",1,1,1,2,1,2,1,4,3,900,1,4,41,2
"0219",1,2,2,1,2,2,2,0,0,0,0,0,56,2
"0219",1,1,1,1,1,2,1,3,3,280,1,1,29,2
"0219",1,1,2,1,1,2,1,0,0,0,1,4,38,1
"0219",1,1,1,1,1,2,2,2,3,380,0,0,25,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,64,1
"0219",1,2,2,1,2,2,2,0,0,0,0,0,64,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,48,1
"0219",1,1,1,1,1,2,2,1,3,1500,0,0,43,2
"0219",1,1,1,1,1,2,1,4,2,0,1,3,35,1
"0219",1,1,1,1,1,2,1,3,3,300,1,4,24,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,71,2
"0219",1,2,2,1,1,2,1,0,0,0,1,4,33,1
"0219",1,1,1,1,2,2,1,4,2,0,2,4,27,1
"0219",1,2,2,1,2,2,1,0,0,0,1,4,46,1
"0219",1,1,1,2,1,2,2,4,2,0,0,0,95,1
"0219",1,1,1,1,2,2,1,3,2,0,1,4,44,2
"0219",1,1,2,1,2,2,1,0,0,0,2,4,25,2
"0219",1,1,2,1,2,2,1,0,0,0,2,4,24,2
"0219",1,1,2,2,2,2,1,0,0,0,1,4,22,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,29,1
"0219",1,2,2,1,2,2,2,0,0,0,0,0,35,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,32,1
"0219",2,0,0,0,0,0,0,0,0,0,0,0,34,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,57,2
"0219",1,1,2,1,1,2,1,0,0,0,3,4,29,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,54,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,37,1
"0219",1,2,2,1,1,2,2,0,0,0,0,0,63,2
"0219",1,1,1,1,2,2,2,3,3,500,0,0,49,1
"0219",1,1,2,2,1,2,1,0,0,0,1,4,28,1
"0219",1,1,1,1,1,2,1,1,3,6000,2,1,53,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,40,2
"0219",1,2,2,1,2,2,2,0,0,0,0,0,44,2
"0219",1,1,2,2,1,2,1,0,0,0,1,4,35,2
"0219",1,1,2,1,2,2,1,0,0,0,1,2,21,2
"0219",1,1,1,1,1,2,1,1,1,0,1,1,41,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,74,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,41,1
"0219",1,1,2,2,2,2,2,0,0,0,0,0,77,2
"0219",1,1,1,1,1,2,1,4,3,1000,1,4,60,2
"0219",1,1,1,1,1,2,1,2,3,2500,1,3,43,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,21,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,38,1
"0219",1,1,1,1,1,2,1,3,3,2400,2,1,60,1
"0219",1,2,2,2,1,2,1,0,0,0,5,3,50,2
"0219",1,1,1,2,2,2,1,1,1,0,1,1,46,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,27,2
"0219",1,1,1,2,1,2,2,4,2,0,0,0,73,2
"0219",1,1,1,2,1,2,2,4,1,0,0,0,46,2
"0219",1,1,1,2,1,2,1,4,1,0,1,1,54,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,53,2
"0219",1,2,2,2,2,2,1,0,0,0,5,4,21,1
"0219",1,1,1,2,2,2,1,2,3,500,2,2,22,1
"0219",1,1,2,1,1,2,2,0,0,0,0,0,50,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,45,1
"0219",1,2,2,2,1,1,2,0,0,0,0,0,49,1
"0219",1,1,1,2,2,2,1,2,1,0,1,2,19,2
"0219",1,1,2,1,1,2,1,0,0,0,1,1,46,1
"0219",1,1,1,2,2,2,1,6,1,0,2,6,32,1
"0219",1,2,2,2,1,2,1,0,0,0,1,6,34,2
"0219",1,1,2,1,2,2,1,0,0,0,2,4,35,2
"0219",1,2,2,2,1,2,1,0,0,0,2,4,30,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,60,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,55,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,44,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,44,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,49,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,39,1
"0219",1,1,2,1,1,2,1,0,0,0,2,3,51,2
"0219",1,1,1,1,1,2,1,3,2,0,2,3,53,2
"0219",1,1,1,1,1,2,1,4,2,0,2,3,31,1
"0219",1,1,1,1,1,2,1,3,2,0,1,1,38,1
"0219",1,1,1,1,2,2,1,2,3,500,1,2,21,1
"0219",1,2,2,1,1,2,1,0,0,0,2,4,56,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,64,1
"0219",1,2,2,1,1,2,2,0,0,0,0,0,32,1
"0219",1,1,1,1,1,2,1,3,3,750,2,1,27,1
"0219",1,1,1,2,2,2,2,3,3,300,0,0,49,2
"0219",1,1,1,1,1,2,1,1,3,300,1,1,40,2
"0219",1,1,1,1,2,2,1,4,2,0,1,4,31,2
"0219",1,1,2,1,1,2,1,0,0,0,1,3,41,1
"0219",1,1,1,1,1,2,1,2,3,1200,1,4,19,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,69,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,19,1
"0219",1,2,2,2,2,2,1,0,0,0,1,4,18,2
"0219",1,1,2,1,1,2,1,0,0,0,3,4,37,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,86,1
"0219",1,1,1,1,1,2,2,4,3,900,0,0,66,2
"0219",1,2,2,1,1,2,1,0,0,0,1,4,23,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,82,2
"0219",1,2,2,1,1,2,2,0,0,0,0,0,46,1
"0219",1,2,2,1,2,2,2,0,0,0,0,0,45,2
"0219",1,1,1,1,1,2,2,4,2,0,0,0,27,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,62,1
"0219",1,1,2,1,2,2,2,0,0,0,0,0,46,2
"0219",1,1,2,1,1,2,1,0,0,0,2,4,52,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,57,1
"0219",1,1,2,1,1,2,1,0,0,0,3,4,41,2
"0219",1,1,1,1,2,2,2,3,2,0,0,0,48,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,67,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,74,1
"0219",1,1,1,2,2,2,2,3,3,300,0,0,29,1
"0219",1,1,1,2,2,2,1,2,1,0,1,2,18,1
"0219",1,1,1,2,1,2,1,4,3,1000,2,4,18,1
"0219",1,1,1,1,2,2,1,2,3,800,1,3,51,1
"0219",1,1,1,2,2,2,1,2,2,0,1,2,23,1
"0219",1,1,1,1,2,2,1,2,3,1500,1,2,19,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,29,2
"0219",1,1,1,1,1,2,1,3,1,0,1,1,34,2
"0219",1,1,1,1,1,2,1,4,3,600,1,1,35,1
"0219",1,1,2,1,1,2,1,0,0,0,2,3,85,1
"0219",1,1,1,1,2,2,1,3,1,0,1,1,33,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,76,2
"0219",1,2,2,1,1,2,1,0,0,0,1,1,32,2
"0219",1,1,1,2,1,2,1,4,3,700,1,4,19,2
"0219",1,2,2,2,2,2,1,0,0,0,5,4,66,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,48,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,29,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,38,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,59,1
"0219",1,1,1,2,1,2,1,4,1,0,4,4,31,1
"0219",1,1,1,1,1,2,2,3,1,0,0,0,29,2
